Designator,Footprint,Quantity,Value,LCSC Part #
BZ701,Buzzer - MLT-8530_JHE,1,Buzzer_-_MLT-8530,C94599
"C10, C5",0805,2,22uF, C45783
C11,C_0402,1,10nF,C15195
"C12, C13, C14, C15, C18, C19, C20, C21, C24, C701, C8, C9, C951, C953",0603,14,100nF,C14663
"C16, C17",0603,2,2.2uF,C23630
"C2, C22, C29, C3, C7, C952",0603,6,10uF,C96446
"C23, C4",0603,2,1uF,C15849
"C25, C26",0603,2,18pF,C1647
C28,C_0402,1,100nF,C1525
C6,0805,1,10uF,C440198
C801,C_0603,1,47nF,C1622
"D10, D14, D4, D5, D7",0603,5,LED-RED,C2286
"D11, D12, D15, D8",D_0603,4,LED-YELLOW,C89811
"D13, D9",0603,2,LED-WHITE,C2290
D2,D_SMA - polarity,1,SS54,C22452
D3,D_SMC,1,SM15T100CA,C1975873
D6,D_MicroSMP_AK,1,MicroSMP(DO-219AD),C3757499
D701,D_SOD-523,1,RB751S-40,C7502700
D801,SOT-23-6,1,SRV05-4,C2836319
D802,D_SOD-123,1,B5819W SL,C8598
"F2, F3, F4, F801",0805,4,Fuse,C2833485
FB2,0603,1,4.7uH,C1034
J10,"TerminalBlock_Phoenix_PT-1,5-6-3.5-H_1x06_P3.50mm_Horizontal",1,Screw_Terminal_01x06,C5290323
J4,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,C7500773
J6,Conn_SAMTEC_FTSH-107-01-F-DV-K-Fix,1,ST_STDC14 - SAMTEC_FTSH-107-01-F-DV-K-Fix,C5307809
J801,USB_C_Receptacle_G-Switch_GT-USB-7051x,1,USB_C_Receptacle_USB2.0_16P,C2843970
J9,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,1,JST  GH,C189892
L2,L_Sunlord_SWPA4030S,1,3.3uH,C15269
Q701,Q_SOT-23,1,AO3400A,C20917
"R10, R12, R13, R14, R2, R20, R21, R22, R23, R24, R25, R26, R27, R3, R4, R5, R702, R804",0402,18,10K,C25744
"R11, R7, R8, R805",R_0402,4,2.2K,C25879
"R15, R16, R17, R18, R19, R701",R_0402,6,100R,C25076
R801,R_0603,1,1MΩ,C22935
"R802, R803",R_0402,2,5.1kΩ,C25905
R9,R_0402,1,54K9,C25796
R951,1206,1,120R,C17909
"RN2, RN3",R_Array_Convex_4x0603,2,1k,C20197
"SW2, SW3",SW_TS-1088-AR02016,2,SW_Push,C720477
U10,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,ISM330DHCX, C2655101
U2,SOT-363_SC-70-6,1,TPS22919DCKR,C2149796
U3,SOT-553,1,SN74LVC1G14DRLR,C2877550
U5,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV76733DRVx,C2848334
U6,B0505_Isolated_SMD,1,B0505XT-1WR3,C19188495
U7,SOT-23-6,1,LMR14006YDDCR,C477919
U8,LQFP-100_14x14mm_P0.5mm,1,STM32F427V_G-I_Tx,C117815
U951,SOIC-8_7.5x5.85mm_P1.27mm,1,ISO1042-Q1,C2672259
X2,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz 20pF,C115962
