Designator,Mid X,Mid Y,Rotation,Layer
BZ701,126.660226,-120.840226,180.0,top
C10,98.1025,-79.91,180.0,top
C11,134.065,-116.36,0.0,top
C12,141.02,-110.65,0.0,top
C13,139.005,-99.95,0.0,top
C14,158.665,-93.46,180.0,top
C15,155.39,-112.81,90.0,top
C16,153.48,-112.835,270.0,top
C17,159.39,-96.36,90.0,top
C18,144.99,-113.76,0.0,top
C19,138.99,-105.81,90.0,top
C2,121.79,-96.76,0.0,top
C20,138.985,-98.19,0.0,top
C21,144.265,-91.81,180.0,top
C22,157.49,-112.81,90.0,top
C23,144.965,-116.36,180.0,top
C24,141.09,-116.36,180.0,top
C25,136.34,-100.035,90.0,top
C26,136.34,-103.31,270.0,top
C28,100.41,-99.13,90.0,top
C29,98.27,-100.93,180.0,top
C3,94.99,-83.46,180.0,top
C4,91.592127,-86.637127,270.0,top
C5,93.842127,-86.462127,90.0,top
C6,98.84,-75.16,180.0,top
C7,128.49,-90.26,270.0,top
C701,119.120225,-118.070225,0.0,top
C8,95.742127,-86.637127,90.0,top
C801,161.990225,-92.540225,270.0,top
C9,105.94,-77.375,270.0,top
C951,140.9,-91.86,180.0,top
C952,131.62,-91.94,0.0,top
C953,135.06,-91.95,0.0,top
D10,164.67,-123.8725,90.0,top
D11,167.26,-123.8725,90.0,top
D12,173.88928,-118.21,180.0,top
D13,173.88928,-114.76,180.0,top
D14,173.88928,-111.16,180.0,top
D15,173.88928,-107.81,180.0,top
D2,145.74,-86.81,270.0,top
D3,149.09,-76.16,0.0,top
D4,140.7775,-82.81,0.0,top
D5,97.39,-124.9475,270.0,top
D6,97.81,-77.76,180.0,top
D7,95.49,-124.96,270.0,top
D701,119.140225,-116.380225,0.0,top
D8,159.49,-123.8725,90.0,top
D801,168.527725,-83.560225,90.0,top
D802,173.490225,-83.260225,270.0,top
D9,162.08,-123.8725,90.0,top
F2,146.49,-81.31,270.0,top
F3,92.04,-82.51,90.0,top
F4,100.0275,-83.66,0.0,top
F801,174.390225,-90.897725,90.0,top
FB2,144.9775,-118.16,180.0,top
J10,119.93,-77.2325,180.0,top
J4,174.49,-99.25,180.0,bottom
J6,152.522,-84.932625,90.0,top
J801,167.790225,-90.110225,0.0,top
J9,137.115,-76.72,0.0,top
L2,102.6025,-79.36,270.0,top
Q701,119.3175,-120.69,180.0,top
R10,106.13,-74.06,180.0,top
R11,95.42,-121.01,270.0,top
R12,147.350225,-124.155225,90.0,top
R13,142.410225,-124.145225,90.0,top
R14,139.183476,-112.741189,90.0,top
R15,158.610225,-83.220225,0.0,top
R16,162.015,-82.06,0.0,top
R17,158.170225,-84.840225,0.0,top
R18,158.120225,-86.080225,0.0,top
R19,158.280225,-81.660225,0.0,top
R2,112.6,-115.9,0.0,top
R20,124.87,-101.42,90.0,top
R21,112.73,-107.5,0.0,top
R22,112.65,-119.95,0.0,top
R23,112.615,-117.36,0.0,top
R24,112.615,-112.61,180.0,top
R25,112.65,-118.65,0.0,top
R26,112.615,-102.61,0.0,top
R27,112.74,-105.61,0.0,top
R3,96.85,-111.4,0.0,top
R4,96.75,-108.15,0.0,top
R5,96.815,-91.31,0.0,top
R7,137.99,-82.77,90.0,top
R701,118.2,-123.06,180.0,top
R702,120.51,-123.09,0.0,top
R8,97.29,-120.985,270.0,top
R801,161.990225,-89.440225,90.0,top
R802,169.090225,-94.880225,90.0,top
R803,165.430225,-85.180225,90.0,top
R804,164.890225,-94.960225,270.0,top
R805,167.390225,-94.860225,90.0,top
R9,106.13,-75.16,180.0,top
R951,134.03,-81.61,180.0,top
RN2,156.39,-124.26,270.0,top
RN3,166.48928,-113.86,0.0,top
SW2,151.415225,-123.970225,0.0,top
SW3,137.782969,-123.84125,180.0,top
U10,101.8,-101.7125,180.0,top
U2,102.5,-123.05,0.0,top
U3,122.89,-101.06,270.0,top
U5,98.092127,-86.612127,90.0,top
U6,120.38,-89.045,0.0,top
U7,102.8525,-75.11,90.0,top
U8,149.49,-101.96,270.0,top
U951,136.545,-87.375,180.0,top
X2,133.09,-101.66,90.0,top
